Name,Email,Code,Amount to pay,Paid amount,Paid date,Phone,Arrival,Diet,Staying late,Number of kids
Zak Mindwarp,zak@mindwarp.io,ABCDEF,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF1,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF12,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF123,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1234,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cynthia Underhill,cynthia234@hotmail.com,F12345,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123456,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
Zak Mindwarp,zak@mindwarp.io,234567,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF2,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF13,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF124,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1235,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cynthia Underhill,cynthia234@hotmail.com,F12346,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123457,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
Zak Mindwarp,zak@mindwarp.io,345678,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF3,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF14,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF125,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1236,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
